"/roll_ref/data_x","/roll_ref/data_y","/roll_mv/data_x","/roll_mv/data_y"
 , ,109.717133,0.05866524022,
 , ,109.7401321,0.01935230252,
 , ,109.7582769,-0.02027930855,
 , ,109.7804511,-0.04006350224,
 , ,109.7994361,-0.07937692642,
 , ,109.8204281,-0.1173711312,
 , ,109.8404641,-0.1538361865,
 , ,109.8613679,-0.1717485956,
 , ,109.8826129,-0.2064702163,
 , ,109.9019961,-0.2395140441,
 , ,109.922312,-0.2706887964,
 , ,109.942667,-0.2855379829,
 , ,109.9639151,-0.3135713775,
 , ,109.9835119,-0.3388184886,
 , ,110.003952,-0.3500646961,
 , ,110.024725,-0.3688513402,
 , ,110.045866,-0.3823681203,
 , ,110.0654299,-0.39150654,
 , ,110.0863981,-0.3962840258,
 , ,110.1063931,-0.3971711772,
 , ,110.129168,-0.3961842664,
 , ,110.147836,-0.3918452389,
 , ,110.169064,-0.384532618,
 , ,110.1886401,-0.379905618,
 , ,110.209208,-0.368947073,
 , ,110.2295861,-0.3560960034,
 , ,110.2501481,-0.3414634847,
 , ,110.2704971,-0.3334940389,
 , ,110.291996,-0.3156253655,
 , ,110.3118331,-0.2952459237,
 , ,110.3321071,-0.2729439313,
 , ,110.352591,-0.2612090923,
 , ,110.3730381,-0.2371395198,
 , ,110.393688,-0.2138145781,
 , ,110.4141932,-0.2029808573,
 , ,110.4348509,-0.1834887265,
 , ,110.4582891,-0.1670961581,
 , ,110.4760971,-0.1537924596,
 , ,110.4965601,-0.1482576218,
 , ,110.517025,-0.1392808142,
 , ,110.540236,-0.1325629188,
 , ,110.5581291,-0.1298857815,
 , ,110.5793409,-0.1254731394,
 , ,110.599328,-0.1223470056,
 , ,110.620697,-0.1202576385,
 , ,110.640168,-0.1195649804,
 , ,110.6607981,-0.1185537303,
 , ,110.6834471,-0.1178804019,
 , ,110.7033839,-0.1174437089,
 , ,110.723824,-0.1172679767,
 , ,110.7428122,-0.1168332819,
 , ,110.7637661,-0.116295106,
 , ,110.7836301,-0.1154294742,
 , ,110.8041821,-0.1149093672,
 , ,110.8251929,-0.1137399994,
 , ,110.845561,-0.1131759753,
 , ,110.8658931,-0.1122249039,
